cell_id,centroid_lat,centroid_lon,cell_size
0,-19.93116121642992,25.77566188653421,224
1,55.66626116915368,-122.15923188504233,143
2,52.911944380050556,110.62122163468399,102
3,-0.33047785301899574,-52.343228596052164,107
4,66.00823849120592,18.85446277871048,164
5,-15.908867354776232,143.56357609656513,113
6,-28.02368375586116,-59.91604016656824,145
7,40.8821286930749,-94.38528842535038,196
8,29.426859442637276,77.36610880018927,201
9,44.36849641224434,3.6060557298902793,195
10,53.22113263698773,30.724519462185352,167
11,52.03386048617647,74.14283898330456,121
12,10.244100700178567,9.345039412909658,153
13,10.48726344066604,46.036063494652275,96
14,-22.386869557213398,117.53304268936098,109
15,39.37057930797093,-107.54716492387753,159
16,0.6069344223825696,-81.14798815193603,112
17,32.112914489059584,127.70734543067249,54
18,-33.54278510104338,147.93686893080434,157
19,-21.826250717817608,-53.12959833051908,161
20,-39.24847542405917,-72.95166887351523,213
21,-17.14849501100945,-142.23309634222971,30
22,10.966997347679255,121.45450940952877,79
23,49.77490182636741,-0.9621495898981703,200
24,7.4833342950100965,1.1488320384835544,139
25,46.05404419736805,14.085937317261385,210
26,-44.64132600166816,168.61293607219565,42
27,35.535659374665364,36.739292142815664,117
28,15.263626369396512,101.68597984171875,122
29,63.0554824802569,33.03601739491491,180
30,-1.2173582651678319,28.422583145754704,145
31,47.56621260743199,92.06289647102554,148
32,45.357556898684074,-122.54705795715955,193
33,-12.877382812131478,-39.634550627086924,167
34,39.897734670188,-87.15853620706729,199
35,-32.29978616946318,116.20245180172019,159
36,60.686397553020086,76.0124913086661,123
37,50.50750341265091,-115.87136828868711,170
38,-9.076813148387098,-65.7666178800957,132
39,52.645336357209864,46.51928977379226,162
40,-35.06379050443791,-57.86672357744772,284
41,30.578895273858123,96.06305658836489,70
42,2.313284235229971,105.27542412947481,39
43,53.57149676915748,84.17884490479155,171
44,57.5702595954191,13.610343738873901,197
45,-0.3764970709080217,36.43926911993665,129
46,66.15635800466268,-122.02630601947264,81
47,26.18234576094405,-101.02051376137275,133
